"filename", "language", "JavaScript", "Markdown", "SQL", "JSON", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/ng-newsfeed/ng-newsfeed.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/ng-newsfeed/ng-newsfeed.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/ng-newsfeed/ng-newsfeed.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/ng-newsfeed/ng-newsfeed.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/relationship/relationship.component.html", "HTML", 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/relationship/relationship.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/relationship/relationship.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 2, 7, 34
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/relationship/relationship.component.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 1, 7, 57
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/services/post.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/services/post.service.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/services/relation.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/services/relation.service.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/social-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/social.module.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/status-update/status-update.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/status-update/status-update.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/status-update/status-update.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/status-update/status-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/video-post/video-post.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/video-post/video-post.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/video-post/video-post.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/video-post/video-post.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/video/video.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/video/video.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/video/video.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/social/video/video.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/task-manager/add-task/add-task.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/task-manager/add-task/add-task.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/task-manager/add-task/add-task.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/task-manager/add-task/add-task.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
